#Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
220,Wesley Iwundu\iwundwe01,SF,23,ORL,26,3,13.9,1.5,3.3,0.46,0.2,0.7,0.235,1.4,2.7,0.514,0.483,0.4,0.7,0.647,0.5,1.6,2,1.1,0.4,0.1,0.3,1,3.7
221,Jarrett Jack\jackja01,PG,34,NYK,43,42,26.8,3.3,7.5,0.441,0.4,1.3,0.296,2.9,6.2,0.47,0.466,1,1.2,0.788,0.3,3.1,3.5,6.1,0.7,0,2,1.8,7.9
222,Demetrius Jackson\jacksde01,PG,23,HOU,12,0,5.3,0.3,1.2,0.286,0,0.5,0,0.3,0.7,0.5,0.286,0,0,0,0.3,0.6,0.9,0.4,0.3,0.1,0.8,0.5,0.7
223,Josh Jackson\jacksjo02,SF,20,PHO,43,16,22.1,3.6,9.3,0.388,0.7,2.5,0.262,3,6.9,0.434,0.423,1.7,3,0.578,1.1,2.6,3.7,1.3,0.9,0.3,1.7,2.7,9.6
224,Justin Jackson\jacksju01,SF,22,SAC,30,5,17,2,5.2,0.381,0.8,2.4,0.315,1.2,2.7,0.439,0.455,0.3,0.4,0.692,0.3,1.4,1.7,0.7,0.4,0.2,0.6,1,5
225,Reggie Jackson\jacksre01,PG,27,DET,33,33,27.1,5.5,12.3,0.446,1.3,3.8,0.339,4.2,8.5,0.493,0.498,2.4,2.8,0.84,0.7,2.2,2.8,5.5,0.6,0.1,2.5,2.1,14.6
226,LeBron James\jamesle01,PF,33,CLE,43,43,36.9,10.4,18.7,0.557,1.8,4.9,0.376,8.6,13.8,0.62,0.606,4.6,6,0.77,1.2,6.8,8,8.8,1.7,1.1,4.3,1.7,27.3
227,Mike James\jamesmi02,PG,27,PHO,32,10,20.9,3.8,9.8,0.388,0.8,3,0.268,3,6.7,0.442,0.429,2,2.6,0.762,0.4,2.4,2.8,3.8,0.8,0.2,1.5,1.4,10.4
228,Al Jefferson\jeffeal01,C,33,IND,17,0,13.9,3,5.5,0.548,0,0.1,0,3,5.4,0.554,0.548,0.7,0.9,0.75,0.9,3.6,4.5,0.8,0.5,0.6,0.8,1.9,6.7
229,Richard Jefferson\jefferi01,SF,37,DEN,14,0,8.4,0.6,1.5,0.381,0.1,0.4,0.167,0.5,1.1,0.467,0.405,0.3,0.5,0.571,0.1,0.8,0.9,0.6,0.1,0,0.3,0.6,1.5
230,Jonas Jerebko\jerebjo01,PF,30,UTA,36,17,17.1,2.4,4.9,0.478,0.9,2.3,0.42,1.4,2.7,0.526,0.573,0.7,0.8,0.893,0.9,2.6,3.5,0.7,0.5,0.1,0.4,2.1,6.4
